Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.sport_type"">Sport Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_steps"">Total Steps</span>",Media
1817811788,"Sep 4, 2018, 12:53:06 AM",Watopia,Virtual Ride,,1811,14.29,,,FALSE,,,activities/1949384349.fit.gz,59.42060089,,1811,1811,14295.5,15.89999962,,121,0,-6,58,11.39999962,-0.047567416,,,100,79.06009674,,0,,120.3313065,210,,,,,,,,,,,,135,1812,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/657d9571-737b-4c57-8181-e4df2393bb29.jpg
1831421917,"Sep 10, 2018, 12:55:38 AM",London,Virtual Ride,,3043,24.15,,,FALSE,,,activities/1963409334.fit.gz,59.42060089,,3043,3043,24154.69922,15.10000038,,58,0,11.60000038,26.20000076,7.5,-0.045539793,,,120,72.18161011,,0,,107.4746704,312,,,,,,,,,,,,127,3044,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/250a6909-1e50-41ff-b9c4-5891b7386bec.jpg
1848956636,"Sep 18, 2018, 1:32:37 AM",London,Virtual Ride,,2739,24.12,,,FALSE,,,activities/1981471876.fit.gz,59.42060089,,2739,2739,24127.80078,11.69999981,,70,0,11.60000038,26.20000076,6.800000191,-0.026525419,,,95,79.66605377,,0,,137.9553833,360,,,,,,,,,,,,142,2740,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/cc62e5af-76e3-4449-88fa-19a02d3d2bfd.jpg
1850939376,"Sep 18, 2018, 9:47:07 PM",Emily's Short Mix Plus 1500 Ft Climb,Virtual Ride,,3728,20.31,,,FALSE,,,activities/1983504557.fit.gz,59.42060089,,3728,3653,20315.69922,21.79999924,,459,0,279.6000061,695.7999878,13.30000019,0.076787904,,,93,75.84429169,,0,,119.7826767,420,,,,,,,,,,,,127,3729,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/f0113d68-0f57-4fa4-a69c-4c52ed18afac.jpg
1857242675,"Sep 22, 2018, 1:54:01 AM",Quick Spin Before Race Day,Virtual Ride,,1832,10.44,,,FALSE,,,activities/1990079683.fit.gz,59.42060089,,1832,1832,10447.5,17.5,,114,0,1.399999976,58,33.29999924,0.028715003,,,117,81.80648804,,0,,83.04264832,146,,,,,,,,,,,,129,1833,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/022f93fe-c3c6-4e78-92f5-9d6e9dda7bb3.jpg
1865751773,"Sep 25, 2018, 9:34:16 PM",Substitute For Practice Cancellation,Virtual Ride,,2730,18.47,,,FALSE,,,activities/1998904456.fit.gz,59.42060089,,2730,2697,18478.80078,16.10000038,,157,0,278.7999878,317.2000122,9.899999619,-0.010823213,,,118,79.20513153,,0,,89.21487427,229,,,,,,,,,,,,109,2731,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/f535ef9d-f460-4d54-a8e5-f3c63b80914e.jpg
1878646058,"Oct 2, 2018, 1:51:20 AM",Easy spin with sore race legs,Virtual Ride,,1824,12.45,,,FALSE,,,activities/2012266365.fit.gz,59.42060089,,1824,1824,12451.7002,15.60000038,,99,0,278.7999878,317.2000122,10,0.036942746,,,149,81.66629791,,0,,95.90734863,169,,,,,,,,,,,,122,1825,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/79ced141-ebd1-4829-9587-18475bc60877.jpg
1891219314,"Oct 8, 2018, 12:27:06 AM",Longer than excepted ride with a sprint and climb jersey,Virtual Ride,,5172,27.52,,,FALSE,,,activities/2025321464.fit.gz,59.42060089,,5172,5172,27524.40039,18.89999962,,518,0,278.7999878,695.7999878,17.79999924,-0.007992908,,,104,74.40664673,,0,,98.83831024,488,,,,,,,,,,,,110,5173,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/feb1d806-3b27-4d5e-8358-e4c0c3c1532b.jpg
1895285938,"Oct 10, 2018, 1:57:56 AM",Watopia,Virtual Ride,,1830,13.32,,,FALSE,,,activities/2029510437.fit.gz,59.42060089,,1830,1830,13323.40039,13.80000019,,121,0,-6.199999809,58,11.30000019,0.387288541,,,99,76.40615082,,0,,106.0613022,185,,,,,,,,,,,,135,1831,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/fdbe1dde-d5f4-4f14-9144-7e30f110df28.jpg
1899199173,"Oct 12, 2018, 1:44:35 AM",Watopia,Virtual Ride,,2416,17.71,,,FALSE,,,activities/2033542105.fit.gz,59.42060089,,2416,2416,17718.19922,15.5,,149,0,-6.199999809,58,11.89999962,0.054181576,,,140,72.94277191,,0,,103.3642807,239,,,,,,,,,,,,122,2417,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/10977993-e6c9-45eb-a1e1-5d0a8c8f4b43.jpg
